,y_pred,x_ant,x_atual,flag,x_antp,x_atualp,acc_x,acc_y,acc_z,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update
0,0,0,0,0,0,0,-0.01,-0.01,-0.02,53,37,29,106
1,0,0,2,0,0,2,-0.04,0.01,-0.20,104,27,28,117
2,31.242107,2,8,0,2,8,0.02,-0.01,-0.15,73,34,29,104
3,18.236792,8,11,0,8,11,0.04,0.01,-0.16,77,26,36,109
4,22.784868,11,15,0,11,15,-0.02,0.04,-0.14,75,24,29,99
5,27.062338,15,19,0,15,19,0.14,0.01,-0.14,75,27,29,107
6,31.254944,19,23,0,19,23,0.05,0,-0.15,73,24,31,109
7,35.406647,23,27,0,23,27,0.04,0.01,-0.13,82,31,31,104
8,38.011780,27,30,0,27,30,0.07,-0.01,-0.06,72,31,41,107
9,39.366020,30,32,0,30,32,0.03,-0.01,-0.13,89,28,41,103
10,40.963585,32,34,0,32,34,-0.08,0.02,-0.10,74,27,31,108
11,42.688950,34,36,0,34,36,0.06,-0.02,-0.03,84,34,29,102
12,43.200706,36,37,0,36,37,0.08,0.03,0.03,74,24,32,109
13,45.096462,37,39,0,37,39,-0.02,0.02,0,78,29,32,106
14,47.013233,39,41,0,39,41,0.12,-0.05,-0.18,80,29,32,107
15,48.945267,41,43,0,41,43,0.03,0,0,78,24,29,104
16,50.888676,43,45,0,43,45,0.10,-0.01,0.09,70,26,32,107
17,51.638561,45,46,0,45,46,0.08,0,0.08,84,26,31,111
18,51.246574,46,46,0,46,46,0.08,-0.01,-0.06,72,26,36,98
19,52.093472,46,47,0,46,47,0.02,0.03,0.05,75,24,29,104
20,52.961021,47,48,0,47,48,0,-0.02,0.06,68,24,42,106
21,52.691925,48,48,0,48,48,0.07,-0.05,0.01,79,29,32,99
22,53.603569,48,49,0,48,49,0.06,0.01,0.07,70,26,32,109
23,53.386402,49,49,0,49,49,0.06,-0.01,0.10,84,24,29,113
24,53.195580,49,49,0,49,49,0.07,-0.01,0.05,67,24,42,99
25,53.026108,49,49,0,49,49,0.05,-0.03,0.09,77,26,42,99
26,51.758209,49,48,0,49,48,0.15,-0.03,0.06,77,31,29,104
27,50.521393,48,47,0,48,47,0.16,0,0.13,75,24,32,98
28,48.208340,47,45,0,47,45,0.20,-0.02,0.07,68,24,36,99
29,49.218746,45,46,0,45,46,0.17,-0.01,0.07,75,28,31,111
30,51.324394,46,48,0,46,48,0.13,0,0.12,67,24,31,109
31,51.231094,48,48,0,48,48,0.10,0.02,0.05,232,179,160,506
32,52.237312,48,49,0,48,49,0.09,0,0,75,24,29,113
33,53.242290,49,50,0,49,50,0.11,0.03,0.10,79,26,37,113
34,54.246132,50,51,0,50,51,0.12,0.01,-0.01,84,29,31,107
35,56.339024,51,53,0,51,53,0.07,-0.01,0.05,68,24,32,101
36,57.336601,53,54,0,53,54,0.18,-0.02,-0.05,79,26,37,99
37,58.333553,54,55,0,54,55,0.11,0.01,0.03,82,28,31,99
38,58.243439,55,55,0,55,55,0.09,-0.03,0.03,87,34,42,111
39,58.159466,55,55,0,55,55,0.04,0.01,0.07,67,24,32,104
40,58.080944,55,55,0,55,55,0.09,0.01,0.06,75,24,28,106
41,58.007294,55,55,0,55,55,0.10,0,0.09,74,26,28,104
42,55.786797,55,53,0,55,53,0.13,-0.05,0.18,78,26,41,99
43,53.586391,53,51,0,53,51,0.11,0,0.08,73,29,29,106
44,49.270691,51,47,0,51,47,0.11,-0.01,0.21,80,32,42,111
45,43.928982,47,42,0,47,42,0.12,-0.01,0.28,70,37,42,109
46,36.517490,42,35,0,42,35,0.12,-0.02,0.26,90,24,32,101
47,29.157360,35,28,0,35,28,0.10,-0.02,0.17,72,34,42,109
48,21.835594,28,21,0,28,21,0.11,-0.01,0.15,80,26,32,108
49,19.748350,21,19,0,21,19,0.09,-0.14,0.06,80,34,42,111
50,20.788387,19,20,0,19,20,0.11,0.06,-0.03,80,28,29,109
51,25.999880,20,25,0,20,25,0.15,0,-0.09,73,26,31,111
52,30.174774,25,29,0,25,29,0.08,0,-0.10,77,27,29,111
53,35.403179,29,34,0,29,34,0.12,0,-0.09,74,36,31,104
54,39.591179,34,38,0,34,38,0.10,0.02,-0.08,75,24,32,116
55,42.731674,38,41,0,38,41,0.09,-0.03,-0.01,79,27,42,109
56,44.819321,41,43,0,41,43,0.10,0,-0.03,94,31,42,111
57,46.906250,43,45,0,43,45,0.11,0,-0.03,101,29,47,150
58,48.992264,45,47,0,45,47,0.13,0.01,-0.06,75,24,42,106
59,51.077156,47,49,0,47,49,0.11,-0.02,-0.01,74,31,31,102
60,52.102982,49,50,0,49,50,0.05,0.02,0.01,87,34,42,111
61,54.185455,50,52,0,50,52,0.08,-0.01,-0.02,77,26,40,104
62,56.266373,52,54,0,52,54,0.17,-0.04,0.04,75,26,28,96
63,57.286243,54,55,0,54,55,0.14,0.05,0.11,67,24,42,109
64,59.364235,55,57,0,55,57,0.10,0,0.03,80,35,42,111
65,61.440346,57,59,0,57,59,0.08,-0.02,0.01,78,37,42,111
66,63.514454,59,61,0,59,61,0.09,0.03,0.12,84,29,31,106
67,65.586449,61,63,0,61,63,0.10,-0.01,0.09,75,24,42,109
68,66.594704,63,64,0,63,64,0.10,0.03,0.08,80,29,32,101
69,67.602264,64,65,0,64,65,0.10,-0.02,0.09,68,37,42,111
70,69.669693,65,67,0,65,67,0.13,0,0.05,96,34,42,109
71,70.674011,67,68,0,67,68,0.14,0.01,0.10,73,26,42,104
72,71.677811,68,69,0,68,69,0.05,0.04,0.10,75,24,42,99
73,70.563393,69,68,0,69,68,0.13,0.03,0.07,70,24,36,107
74,70.513031,68,68,0,68,68,0.08,0.07,0.06,87,32,42,111
75,69.410004,68,67,0,68,67,0.11,0.02,0.06,84,34,42,109
76,68.313461,67,66,0,67,66,0.11,-0.01,0,75,29,42,111
77,67.222725,66,65,0,66,65,0.10,-0.05,0.02,70,34,42,111
78,66.137230,65,64,0,65,64,0.14,-0.05,0.12,88,34,42,111
79,62.961937,64,61,0,64,61,0.16,-0.03,0.20,80,37,42,111
80,57.713745,61,56,0,61,56,0.15,-0.01,0.26,79,24,42,109
81,52.491337,56,51,0,56,51,0.20,0.04,0.16,68,34,42,109
82,46.254326,51,45,0,51,45,0.16,-0.04,0.23,96,32,42,111
