,y_pred,x_ant,x_atual,flag,x_antp,x_atualp,acc_x,acc_y,acc_z,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update
0,0,0,0,0,0,0,0.01,0,-0.03,42,37,29,102
1,0,0,2,0,0,2,-0.04,0.01,-0.24,99,24,29,107
2,39.540791,2,9,0,2,9,0.05,0,-0.19,69,26,44,104
3,22.245779,9,13,0,9,13,0.10,-0.01,-0.10,78,31,29,98
4,25.662382,13,17,0,13,17,0.05,0,-0.15,67,27,41,99
5,29.601065,17,21,0,17,21,-0.03,0,-0.10,82,26,44,104
6,30.315516,21,23,0,21,23,0.02,0.01,-0.09,68,24,32,94
7,33.224781,23,26,0,23,26,-0.03,0.04,-0.06,79,35,31,104
8,34.738441,26,28,0,26,28,0.06,-0.03,-0.05,68,26,31,107
9,35.060680,28,29,0,28,29,-0.01,-0.02,0.04,78,24,31,104
10,35.607376,29,30,0,29,30,0.02,0,-0.08,63,24,31,112
11,35.000977,30,30,0,30,30,0.03,0,0.02,75,24,29,118
12,33.314220,30,29,0,30,29,0.02,0.01,0.05,78,24,31,99
13,33.003578,29,29,0,29,29,0.04,0.02,0.05,74,29,32,103
14,35.143692,29,31,0,29,31,0.07,0,-0.10,72,29,32,108
15,37.263988,31,33,0,31,33,0.11,-0.03,-0.07,72,29,28,104
16,39.366905,33,35,0,33,35,0.02,0.01,-0.04,64,29,40,99
17,42.645332,35,38,0,35,38,0.01,0.06,0.03,79,24,32,97
18,43.515606,38,39,0,38,39,0.06,0.01,0.01,65,26,35,94
19,45.580894,39,41,0,39,41,0.04,-0.01,-0.05,72,24,28,94
20,46.465515,41,42,0,41,42,0.05,-0.03,-0.01,64,24,31,113
21,47.365448,42,43,0,42,43,0.03,0,0.02,82,28,42,98
22,48.277660,43,44,0,43,44,0.06,0,0.10,68,29,29,103
23,49.199879,44,45,0,44,45,0.02,-0.01,0.09,74,27,32,107
24,50.130356,45,46,0,45,46,0.05,-0.01,-0.03,63,24,40,98
25,51.067745,46,47,0,46,47,0.05,0,0.09,75,28,32,107
26,52.010971,47,48,0,47,48,0.06,-0.03,0.05,68,27,41,99
27,52.959175,48,49,0,48,49,0.06,0,0.08,75,26,29,108
28,51.671936,49,48,0,49,48,0.01,0.01,0.15,69,26,32,102
29,50.421623,48,47,0,48,47,0.11,-0.03,0.13,84,26,44,97
30,48.098373,47,45,0,47,45,0.11,-0.03,0.03,80,24,32,97
31,49.103481,45,46,0,45,46,0.12,-0.04,0.18,80,24,31,102
