"Name","Threshold","FlagCorrection","N_outlier_max","FilterOrder","Forgetting","Regularization","accuracy","f1_score","recall","rmse_pred","rmse_saved","mae_pred","mae_saved"
"major-sweep-364","2.5","true","1","3","0.5","0.1","0.984375","0.8051948051948051","0.8378378378378378","144.6088180470254","134.89281321279194","44.372945402851755","23.32218575677315"
"super-sweep-764","2.5","true","1","4","0.98","1","0.984375","0.8051948051948051","0.8378378378378378","132.1460057081199","129.63668574162298","28.102817231234273","22.307563784298186"
"bright-sweep-148","2.5","true","1","2","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.82729808227364","130.34713491826514","28.394203161471783","22.37995462250893"
"azure-sweep-184","2.5","false","1","2","0.5","0.1","0.984375","0.8051948051948051","0.8378378378378378","163.8787590577875","156.504752473887","49.74589518981694","28.79431091938853"
"cosmic-sweep-760","2.5","true","1","4","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.14601623718443","129.63669713814332","28.10281205904954","22.307565036467956"
"vague-sweep-724","2.5","true","1","4","0.5","0.1","0.984375","0.8051948051948051","0.8378378378378378","141.46535048934518","132.36561611313317","43.843399230860385","22.914950918516215"
"quiet-sweep-1016","2.5","false","1","4","0.999","1","0.984375","0.8051948051948051","0.8378378378378378","137.41640013822638","135.10047019986644","28.704759125937503","24.987699856450096"
"skilled-sweep-264","2.5","false","1","2","0.99","10","0.984375","0.8051948051948051","0.8378378378378378","137.16129793388683","134.83465074237358","28.78882168102273","24.811123856090408"
"generous-sweep-796","2.5","true","1","4","0.99","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.45707176614783","130.01516456102033","27.116402847027928","22.352861936657792"
"exalted-sweep-656","2.5","false","1","3","0.999","1","0.984375","0.8051948051948051","0.8378378378378378","137.4207289400155","135.1058235127925","28.68832945296039","24.97442212596441"
"celestial-sweep-584","2.5","false","1","3","0.98","1","0.984375","0.8051948051948051","0.8378378378378378","137.00408083733734","134.62459338355498","29.65723494387081","24.67116987869292"
"easy-sweep-472","2.5","true","1","3","0.999","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.81933733977235","130.37578308695257","27.594772880182155","22.387102393140093"
"radiant-sweep-868","2.5","true","1","4","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.7598812976901","130.33161074207194","27.133288217444125","22.37951792302397"
"helpful-sweep-688","2.5","false","1","3","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.44506992725996","135.12896882568322","28.774068010147168","24.98897603805282"
"divine-sweep-44","2.5","true","1","2","0.98","1","0.984375","0.8051948051948051","0.8378378378378378","131.78282091914355","129.0974781755517","29.416286459089125","22.234772991088924"
"iconic-sweep-944","2.5","false","1","4","0.98","1","0.984375","0.8051948051948051","0.8378378378378378","136.9887014873943","134.6144593581003","29.59497927653486","24.685417404511625"
"proud-sweep-728","2.5","true","1","4","0.5","1","0.984375","0.8051948051948051","0.8378378378378378","141.46534861381812","132.36561464065466","43.84339880364701","22.91495062572117"
"bright-sweep-984","2.5","false","1","4","0.99","10","0.984375","0.8051948051948051","0.8378378378378378","137.18603183630526","134.86173368996788","28.73331696904741","24.83803480050874"
"wise-sweep-832","2.5","true","1","4","0.999","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.74120726027172","130.313228027617","27.115798301292852","22.37909969296298"
"valiant-sweep-436","2.5","true","1","3","0.99","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.49074074504566","130.02077471842864","27.600763242047037","22.355068123538913"
"leafy-sweep-580","2.5","false","1","3","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.00408103881966","134.62459396256477","29.65722957819857","24.671169020035464"
"charmed-sweep-552","2.5","false","1","3","0.5","10","0.984375","0.8051948051948051","0.8378378378378378","160.3833581291019","154.13798248009965","47.91949946212535","28.342027657468694"
"eager-sweep-840","2.5","true","1","4","0.999","10","0.984375","0.8051948051948051","0.8378378378378378","132.74109418628862","130.31310263337065","27.11589481398802","22.37908418835252"
"deft-sweep-188","2.5","false","1","2","0.5","1","0.984375","0.8051948051948051","0.8378378378378378","163.87875649301114","156.5047501633451","49.74589504759207","28.794310297603047"
"rosy-sweep-692","2.5","false","1","3","1","1","0.984375","0.8051948051948051","0.8378378378378378","137.44507095929688","135.12896925832172","28.774078968572763","24.9889774504725"
"devoted-sweep-256","2.5","false","1","2","0.99","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.16128604688288","134.83464424982012","28.788711239079795","24.81111163809434"
