"Name","Threshold","FlagCorrection","N_outlier_max","FilterOrder","Forgetting","Regularization","accuracy","f1_score","recall","rmse_pred","rmse_saved","mae_pred","mae_saved"
"swift-sweep-5","2","true","1","2","0.5","1","0.940625","0.558139534883721","0.972972972972973","203.38601258077856","194.6512582679925","51.01628611022071","32.166539340083496"
"scarlet-sweep-617","2","false","1","3","0.99","1","0.940625","0.558139534883721","0.972972972972973","152.71878704824312","150.6486050973798","38.92616959267651","35.81615529900194"
"kind-sweep-221","2","false","1","2","0.98","1","0.940625","0.558139534883721","0.972972972972973","150.954634566536","148.83640640676413","37.88260099272622","34.09738343441765"
"glowing-sweep-477","2","true","1","3","0.999","10","0.940625","0.558139534883721","0.972972972972973","138.64283521940408","136.31473561752455","31.08162593413713","26.42004740510109"
"olive-sweep-865","2","true","1","4","1","0.1","0.940625","0.558139534883721","0.972972972972973","138.4848442195192","136.1739797641502","30.59722507750076","26.40485616482506"
"graceful-sweep-1045","2","false","1","4","1","0.1","0.940625","0.558139534883721","0.972972972972973","154.654879021199","152.61211998705264","40.55533197331811","37.51873664218736"
"copper-sweep-657","2","false","1","3","0.999","10","0.940625","0.558139534883721","0.972972972972973","154.3147066839618","152.26930360261107","40.12747338770295","37.22218562154792"
"vivid-sweep-581","2","false","1","3","0.98","1","0.940625","0.558139534883721","0.972972972972973","151.07069944591592","148.9543461573155","38.06446140632194","34.22954057441328"
"atomic-sweep-401","2","true","1","3","0.98","1","0.940625","0.558139534883721","0.972972972972973","141.6979701969753","139.25796978987017","33.13374281475631","27.081069147549428"
"fiery-sweep-1049","2","false","1","4","1","1","0.940625","0.558139534883721","0.972972972972973","154.6548923936709","152.61213315302186","40.5553485929748","37.51874722842211"
"pleasant-sweep-653","2","false","1","3","0.999","1","0.940625","0.558139534883721","0.972972972972973","154.3145920548339","152.26919098861595","40.127322734062304","37.22209501407959"
"dandy-sweep-937","2","false","1","4","0.98","0.1","0.940625","0.558139534883721","0.972972972972973","151.2782107179431","149.16583785418712","38.323760993105786","34.46729941988215"
"lilac-sweep-905","2","false","1","4","0.5","1","0.940625","0.558139534883721","0.972972972972973","267.68896793348597","263.32970874557344","84.02500357233494","65.60395413343022"
"giddy-sweep-765","2","true","1","4","0.98","10","0.940625","0.558139534883721","0.972972972972973","141.63436235034513","139.2581228993211","32.620697690687415","27.061328920100944"
"leafy-sweep-145","2","true","1","2","1","0.1","0.940625","0.558139534883721","0.972972972972973","138.54762693892337","136.18013166323703","31.75201939356005","26.418978283796225"
"comfy-sweep-977","2","false","1","4","0.99","1","0.940625","0.558139534883721","0.972972972972973","152.931606504594","150.86420604283353","39.19910647074565","36.05462680766065"
"fast-sweep-621","2","false","1","3","0.99","10","0.940625","0.558139534883721","0.972972972972973","152.7188793613346","150.6486958936374","38.92630572533506","35.81624226812403"
"good-sweep-45","2","true","1","2","0.98","10","0.940625","0.558139534883721","0.972972972972973","142.18452501226878","139.46628693382516","34.561845754007585","27.12787120517356"
"polar-sweep-1","2","true","1","2","0.5","0.1","0.940625","0.558139534883721","0.972972972972973","203.38601991833835","194.6512643350594","51.01628680478731","32.16653953763033"
"super-sweep-729","2","true","1","4","0.5","10","0.940625","0.558139534883721","0.972972972972973","186.83535439523456","179.30221841453832","49.35931891978717","31.56158379472802"
"frosty-sweep-253","2","false","1","2","0.99","0.1","0.940625","0.558139534883721","0.972972972972973","152.6009838711222","150.53075884978878","38.71414802039836","35.67693401770969"
"rare-sweep-113","2","true","1","2","0.999","1","0.940625","0.558139534883721","0.972972972972973","138.62482560056793","136.237550029801","32.07042787905209","26.438279740552993"
"sparkling-sweep-433","2","true","1","3","0.99","0.1","0.940625","0.558139534883721","0.972972972972973","139.8938914597818","137.5258495540306","31.941164647658027","26.655648242126837"
"fast-sweep-77","2","true","1","2","0.99","1","0.940625","0.558139534883721","0.972972972972973","140.04159938374647","137.49460387374438","33.37976314147183","26.67080367657721"
"feasible-sweep-37","2","true","1","2","0.98","0.1","0.940625","0.558139534883721","0.972972972972973","142.1847209282378","139.46646265362233","34.56189620178241","27.12789504801891"
"vague-sweep-189","2","false","1","2","0.5","10","0.940625","0.558139534883721","0.972972972972973","344.15119510031803","339.5262767388335","101.95326441989292","80.40354877060521"
"glorious-sweep-649","2","false","1","3","0.999","0.1","0.940625","0.558139534883721","0.972972972972973","154.31458059648168","152.26917973160045","40.127307674545705","37.222085956796946"
"lively-sweep-981","2","false","1","4","0.99","10","0.940625","0.558139534883721","0.972972972972973","152.9317150551149","150.8643131246215","39.199264835944824","36.054728862981705"
"crisp-sweep-149","2","true","1","2","1","1","0.940625","0.558139534883721","0.972972972972973","138.54761208924657","136.18011608077063","31.75202513857229","26.418978108060745"
"distinctive-sweep-365","2","true","1","3","0.5","1","0.940625","0.558139534883721","0.972972972972973","191.43485173741055","183.4653255239778","49.66098766828553","31.44090164722692"
"still-sweep-761","2","true","1","4","0.98","1","0.940625","0.558139534883721","0.972972972972973","141.63460414880393","139.25835984677346","32.62071966563223","27.061355147543946"
"major-sweep-109","2","true","1","2","0.999","0.1","0.940625","0.558139534883721","0.972972972972973","138.62484045860825","136.23756549528304","32.07042256463343","26.438279898406584"
"atomic-sweep-941","2","false","1","4","0.98","1","0.940625","0.558139534883721","0.972972972972973","151.27821893498384","149.16584595596404","38.32377170524757","34.46730774742907"
"lilac-sweep-585","2","false","1","3","0.98","10","0.940625","0.558139534883721","0.972972972972973","151.07076665748954","148.95441213869472","38.06455109100996","34.2296115649652"
